run_name,seed,dataset,model,beta,beta_schedule,aux_enabled,strategy,lookahead,sigma,detach_target,normalize_gradients,skip_last_aux_layers,max_epochs,train_subset,val_subset,test_subset,val_acc,val_total_loss,test_acc,test_total_loss,duration_seconds,best_checkpoint,log_dir,beta_mode,direct_hidden_target
cifar100_full_beta0.3_seed0,0,cifar100,resnet18,0.3,,True,output,1,1.0,True,False,,2,1.0,1.0,1.0,0.6323999762535095,1.4209041595458984,0.6389999985694885,1.3877570629119873,771.6482391357422,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_beta0.3_seed0\best.ckpt,results\lightning_logs\cifar100_full_beta0.3_seed0,,
cifar100_full_beta0.4_seed0,0,cifar100,resnet18,0.4,,True,output,1,1.0,True,False,,2,1.0,1.0,1.0,0.6272000074386597,1.233502745628357,0.6419000029563904,1.2071701288223267,819.8632459640503,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_beta0.4_seed0\best.ckpt,results\lightning_logs\cifar100_full_beta0.4_seed0,,
cifar100_full_beta0.5_seed0,0,cifar100,resnet18,0.5,,True,output,1,1.0,True,False,,2,1.0,1.0,1.0,0.635200023651123,1.052087426185608,0.6481999754905701,1.032619833946228,767.1652183532715,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_beta0.5_seed0\best.ckpt,results\lightning_logs\cifar100_full_beta0.5_seed0,,
cifar100_full_beta0.6_seed0,0,cifar100,resnet18,0.6,,True,output,1,1.0,True,False,,2,1.0,1.0,1.0,0.6248000264167786,0.879515528678894,0.6453999876976013,0.8640286326408386,778.3715219497681,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_beta0.6_seed0\best.ckpt,results\lightning_logs\cifar100_full_beta0.6_seed0,,
cifar100_full_beta0.7_seed0,0,cifar100,resnet18,0.7,,True,output,1,1.0,True,False,,2,1.0,1.0,1.0,0.6299999952316284,0.7111443877220154,0.6412000060081482,0.6966610550880432,772.3600242137909,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_beta0.7_seed0\best.ckpt,results\lightning_logs\cifar100_full_beta0.7_seed0,,
cifar100_full_beta0.8_seed0,0,cifar100,resnet18,0.8,,True,output,1,1.0,True,False,,2,1.0,1.0,1.0,0.6317999958992004,0.5234065651893616,0.6464999914169312,0.5156083703041077,773.0751614570618,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_beta0.8_seed0\best.ckpt,results\lightning_logs\cifar100_full_beta0.8_seed0,,
cifar100_full_beta0.9_seed0,0,cifar100,resnet18,0.9,,True,output,1,1.0,True,False,,2,1.0,1.0,1.0,0.6262000203132629,0.35226407647132874,0.6456999778747559,0.3481013774871826,771.2932243347168,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_beta0.9_seed0\best.ckpt,results\lightning_logs\cifar100_full_beta0.9_seed0,,
cifar100_full_beta1.0_seed0,0,cifar100,resnet18,1.0,,True,output,1,1.0,True,False,,2,1.0,1.0,1.0,0.011800000444054604,0.0008324755472131073,0.009999999776482582,0.0008343433146364987,762.942319393158,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_beta1.0_seed0\best.ckpt,results\lightning_logs\cifar100_full_beta1.0_seed0,,
cifar100_full_confirm_beta0.0_seed1,1,cifar100,resnet18,0.0,,False,output,1,1.0,True,False,,2,1.0,1.0,1.0,0.6344000101089478,1.9224861860275269,0.6474999785423279,1.8965179920196533,767.9970316886902,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_confirm_beta0.0_seed1\best.ckpt,results\lightning_logs\cifar100_full_confirm_beta0.0_seed1,,
cifar100_full_confirm_beta0.2_seed1,1,cifar100,resnet18,0.2,,True,output,1,1.0,True,False,,2,1.0,1.0,1.0,0.6287999749183655,1.675107479095459,0.6347000002861023,1.648291826248169,772.9521009922028,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_confirm_beta0.2_seed1\best.ckpt,results\lightning_logs\cifar100_full_confirm_beta0.2_seed1,,
cifar100_full_strategy_exp_seed0,0,cifar100,resnet18,0.2,,True,exponential,2,1.0,True,False,,2,1.0,1.0,1.0,0.6204000115394592,1.6546918153762817,0.6326000094413757,1.6241497993469238,775.8211817741394,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_strategy_exp_seed0\best.ckpt,results\lightning_logs\cifar100_full_strategy_exp_seed0,,
cifar100_full_strategy_fixed1_seed0,0,cifar100,resnet18,0.2,,True,fixed,1,1.0,True,False,,2,1.0,1.0,1.0,0.6291999816894531,1.5847358703613281,0.640999972820282,1.5476248264312744,781.8909652233124,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_strategy_fixed1_seed0\best.ckpt,results\lightning_logs\cifar100_full_strategy_fixed1_seed0,,
cifar100_full_strategy_fixed2_seed0,0,cifar100,resnet18,0.2,,True,fixed,2,1.0,True,False,,2,1.0,1.0,1.0,0.6362000107765198,1.5553170442581177,0.6449999809265137,1.5254721641540527,777.691487789154,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_strategy_fixed2_seed0\best.ckpt,results\lightning_logs\cifar100_full_strategy_fixed2_seed0,,
cifar100_full_strategy_gaussian_seed0,0,cifar100,resnet18,0.2,,True,gaussian,2,1.0,True,False,,2,1.0,1.0,1.0,0.620199978351593,1.5879164934158325,0.6395000219345093,1.553391933441162,762.2658803462982,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_strategy_gaussian_seed0\best.ckpt,results\lightning_logs\cifar100_full_strategy_gaussian_seed0,,
cifar100_full_strategy_output_seed0,0,cifar100,resnet18,0.2,,True,output,1,1.0,True,False,,2,1.0,1.0,1.0,0.6385999917984009,1.586677074432373,0.6384000182151794,1.55695641040802,773.5461318492889,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_strategy_output_seed0\best.ckpt,results\lightning_logs\cifar100_full_strategy_output_seed0,,
cifar100_full_strategy_uniform_seed0,0,cifar100,resnet18,0.2,,True,uniform,1,1.0,True,False,,2,1.0,1.0,1.0,0.6230000257492065,1.5983160734176636,0.6345000267028809,1.5665063858032227,756.7434184551239,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_full_strategy_uniform_seed0\best.ckpt,results\lightning_logs\cifar100_full_strategy_uniform_seed0,,
cifar100_profile_aux1e_seed0,0,cifar100,resnet18,0.2,,True,gaussian,2,1.0,True,False,,1,1.0,1.0,1.0,0.633400022983551,1.5572274923324585,0.6385999917984009,1.5350298881530762,441.12735414505005,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_profile_aux1e_seed0\best.ckpt,results\lightning_logs\cifar100_profile_aux1e_seed0,,
cifar100_profile_baseline2e_seed0,0,cifar100,resnet18,0.0,,False,fixed,1,1.0,False,False,,2,1.0,1.0,1.0,0.6313999891281128,1.914015769958496,0.6499000191688538,1.8620070219039917,768.6027398109436,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\cifar100_profile_baseline2e_seed0\best.ckpt,results\lightning_logs\cifar100_profile_baseline2e_seed0,,
stage1_baseline_seed0,0,mnist,mlp,0.0,,False,fixed,1,1.0,True,False,,6,1.0,1.0,1.0,0.9753999710083008,0.08626946061849594,0.9747999906539917,0.0799831822514534,83.40492129325867,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_baseline_seed0\best.ckpt,results\lightning_logs\stage1_baseline_seed0,,
stage1_baseline_seed1,1,mnist,mlp,0.0,,False,fixed,1,1.0,True,False,,6,1.0,1.0,1.0,0.9745000004768372,0.09008298069238663,0.9736999869346619,0.08444540202617645,83.69024538993835,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_baseline_seed1\best.ckpt,results\lightning_logs\stage1_baseline_seed1,,
stage1_detach_False_seed0,0,mnist,mlp,0.4,,True,gaussian,2,1.0,False,False,,6,1.0,1.0,1.0,0.9742000102996826,0.054712872952222824,0.9761000275611877,0.05129200965166092,109.56232619285583,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_detach_False_seed0\best.ckpt,results\lightning_logs\stage1_detach_False_seed0,,
stage1_detach_False_seed1,1,mnist,mlp,0.4,,True,gaussian,2,1.0,False,False,,6,1.0,1.0,1.0,0.9779999852180481,0.04818191006779671,0.9785000085830688,0.04381251707673073,108.9676947593689,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_detach_False_seed1\best.ckpt,results\lightning_logs\stage1_detach_False_seed1,,
stage1_detach_True_seed0,0,mnist,mlp,0.4,,True,gaussian,2,1.0,True,False,,6,1.0,1.0,1.0,0.9751999974250793,0.05372723564505577,0.9754999876022339,0.05093178153038025,104.11367344856262,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_detach_True_seed0\best.ckpt,results\lightning_logs\stage1_detach_True_seed0,,
stage1_detach_True_seed1,1,mnist,mlp,0.4,,True,gaussian,2,1.0,True,False,,6,1.0,1.0,1.0,0.9779000282287598,0.05291719362139702,0.9767000079154968,0.04974447935819626,107.34211945533752,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_detach_True_seed1\best.ckpt,results\lightning_logs\stage1_detach_True_seed1,,
stage1_gradnorm_False_seed0,0,mnist,mlp,0.5,,True,gaussian,2,1.0,True,False,,6,1.0,1.0,1.0,0.9753999710083008,0.04648390784859657,0.9750999808311462,0.044448450207710266,102.07124876976013,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_gradnorm_False_seed0\best.ckpt,results\lightning_logs\stage1_gradnorm_False_seed0,,
stage1_gradnorm_False_seed1,1,mnist,mlp,0.5,,True,gaussian,2,1.0,True,False,,6,1.0,1.0,1.0,0.9764999747276306,0.044918470084667206,0.9757999777793884,0.04386475682258606,102.36876821517944,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_gradnorm_False_seed1\best.ckpt,results\lightning_logs\stage1_gradnorm_False_seed1,,
stage1_gradnorm_True_seed0,0,mnist,mlp,0.5,,True,gaussian,2,1.0,True,True,,6,1.0,1.0,1.0,0.9433000087738037,0.10199294984340668,0.9456999897956848,0.09619323909282684,110.6191418170929,C:\Users\DavWi\Main\Projekte\greedy_auxiliary_loss\results\checkpoints\stage1_gradnorm_True_seed0\best.ckpt,results\lightning_logs\stage1_gradnorm_True_seed0,,
